Marca,SKU,Nombre,URL_Busqueda,URL_Imagen_Encontrada
GENERICO (SIN CATEGORIZAR),103025INDI,1 PIEZA PUNTA DE CRUZ PH2 DE IMPACTO LARGO 2',https://www.google.com/search?q=1%20PIEZA%20PUNTA%20DE%20CRUZ%20PH2%20DE%20IMPACTO%20LARGO%202%27&tbm=isch,
GENERICO (SIN CATEGORIZAR),P61600,11W PAR30 DIM FL 2700K GREENLITE,https://www.google.com/search?q=11W%20PAR30%20DIM%20FL%202700K%20GREENLITE&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABOM0005,"AB OMEGA 1 1/2""*",https://www.google.com/search?q=AB%20OMEGA%201%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABOM0004,"AB OMEGA 1 1/4""*",https://www.google.com/search?q=AB%20OMEGA%201%201/4%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABOM0003,"AB OMEGA 1""*",https://www.google.com/search?q=AB%20OMEGA%201%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABOM0001,"AB OMEGA 1/2""*",https://www.google.com/search?q=AB%20OMEGA%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABOM0006,"AB OMEGA 2""*",https://www.google.com/search?q=AB%20OMEGA%202%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0005,"AB UÑA 1 1/2""*",https://www.google.com/search?q=AB%20U%C3%91A%201%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0004,"AB UÑA 1 1/4""*",https://www.google.com/search?q=AB%20U%C3%91A%201%201/4%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0003,"AB UÑA 1""*",https://www.google.com/search?q=AB%20U%C3%91A%201%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0001,"AB UÑA 1/2""*",https://www.google.com/search?q=AB%20U%C3%91A%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0006,"AB UÑA 2""*",https://www.google.com/search?q=AB%20U%C3%91A%202%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0008,"AB UÑA 3""*",https://www.google.com/search?q=AB%20U%C3%91A%203%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0002,AB UÑA 3/4,https://www.google.com/search?q=AB%20U%C3%91A%203/4&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUÑ0009,"AB UÑA 4*""",https://www.google.com/search?q=AB%20U%C3%91A%204%2A%22&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABCL0004,"ABRAZADERA CLIP 1 1/4""*",https://www.google.com/search?q=ABRAZADERA%20CLIP%201%201/4%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABCL0003,ABRAZADERA CLIP 1*,https://www.google.com/search?q=ABRAZADERA%20CLIP%201%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABCL0001,"ABRAZADERA CLIP 1/2""¨*",https://www.google.com/search?q=ABRAZADERA%20CLIP%201/2%22%C2%A8%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABCL0002,"ABRAZADERA CLIP 3/4""*",https://www.google.com/search?q=ABRAZADERA%20CLIP%203/4%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABPA0002,"ABRAZADERA PATA CABRA 3/4"" PCT-34",https://www.google.com/search?q=ABRAZADERA%20PATA%20CABRA%203/4%22%20PCT-34&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABPE0005,"ABRAZADERA TIPO PERA 1  1/2""*",https://www.google.com/search?q=ABRAZADERA%20TIPO%20PERA%201%20%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABPE0003,"ABRAZADERA TIPO PERA 1""*",https://www.google.com/search?q=ABRAZADERA%20TIPO%20PERA%201%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABPE0001,"ABRAZADERA TIPO PERA 1/2""*",https://www.google.com/search?q=ABRAZADERA%20TIPO%20PERA%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABPE0006,"ABRAZADERA TIPO PERA 2""*",https://www.google.com/search?q=ABRAZADERA%20TIPO%20PERA%202%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABPE0002,"ABRAZADERA TIPO PERA 3/4""*",https://www.google.com/search?q=ABRAZADERA%20TIPO%20PERA%203/4%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ABUR0009,"ABRAZADERA U ROSCADA 1/4"" X 4 X 1/2""*",https://www.google.com/search?q=ABRAZADERA%20U%20ROSCADA%201/4%22%20X%204%20X%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ACRI0002,ACRILICO PANEL DE ABEJA 61X1.22 D-15 GRUESO,https://www.google.com/search?q=ACRILICO%20PANEL%20DE%20ABEJA%2061X1.22%20D-15%20GRUESO&tbm=isch,
GENERICO (SIN CATEGORIZAR),ADAP0001,ADAPTADOR P/RIEL DIM P/XLP000 1SEP407740R0001,https://www.google.com/search?q=ADAPTADOR%20P/RIEL%20DIM%20P/XLP000%201SEP407740R0001&tbm=isch,
GENERICO (SIN CATEGORIZAR),AISL0024,AISLADOR 13PD,https://www.google.com/search?q=AISLADOR%2013PD&tbm=isch,
GENERICO (SIN CATEGORIZAR),AIMA0001,"AISLADOR MANZANA  EPOXICO 3/8"" 600V TIPO BARRIL",https://www.google.com/search?q=AISLADOR%20MANZANA%20%20EPOXICO%203/8%22%20600V%20TIPO%20BARRIL&tbm=isch,
GENERICO (SIN CATEGORIZAR),AISL0001,APARTARRAYO TIPO RISER POLE 12 KV,https://www.google.com/search?q=APARTARRAYO%20TIPO%20RISER%20POLE%2012%20KV&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAN0006,"ARANDELA  DE  PRESION 1/2""",https://www.google.com/search?q=ARANDELA%20%20DE%20%20PRESION%201/2%22&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAC0005,"ARANDELA ACERO INOXIDABLE PLANA 1/2""*",https://www.google.com/search?q=ARANDELA%20ACERO%20INOXIDABLE%20PLANA%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAC0006,"ARANDELA ACERO INOXIDABLE PRESION 1/2""*",https://www.google.com/search?q=ARANDELA%20ACERO%20INOXIDABLE%20PRESION%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAC0007,ARANDELA ACERO INOXIDABLE PRESION 1/4*,https://www.google.com/search?q=ARANDELA%20ACERO%20INOXIDABLE%20PRESION%201/4%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAC0008,ARANDELA ACERO INOXIDABLE PRESION 3/8*,https://www.google.com/search?q=ARANDELA%20ACERO%20INOXIDABLE%20PRESION%203/8%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAC0009,"ARANDELA ACERO INOXIDABLE PRESION 5/8""*",https://www.google.com/search?q=ARANDELA%20ACERO%20INOXIDABLE%20PRESION%205/8%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAN0015,ARANDELA CUADRADA DE 1/2,https://www.google.com/search?q=ARANDELA%20CUADRADA%20DE%201/2&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAN0016,ARANDELA CUADRADA DE 3/4,https://www.google.com/search?q=ARANDELA%20CUADRADA%20DE%203/4&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAN0005,"ARANDELA GALV PLANA 1/2""*",https://www.google.com/search?q=ARANDELA%20GALV%20PLANA%201/2%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAN0002,"ARANDELA GALV PLANA 1/4""*",https://www.google.com/search?q=ARANDELA%20GALV%20PLANA%201/4%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAN0007,"ARANDELA GALV PLANA 3/4""*",https://www.google.com/search?q=ARANDELA%20GALV%20PLANA%203/4%22%2A&tbm=isch,
GENERICO (SIN CATEGORIZAR),ARAN0004,"ARANDELA GALV PLANA 3/8""",https://www.google.com/search?q=ARANDELA%20GALV%20PLANA%203/8%22&tbm=isch,
