Categoria,Cantidad,Termino_Busqueda,URL_Imagen
SIN CATEGORIZAR,336,,
ILUMINACION LED,116,panel LED empotrable luminaria,
TUBERIA,46,tubo conduit electrico galvanizado,
INTERRUPTORES,42,interruptor termomagnetico breaker,
CONECTORES,37,conector conduit electrico,
CONDULETS,30,condulet tipo LB electrico,
TORNILLERIA,30,tornillo hexagonal galvanizado ferreteria,
CABLES,28,cable electrico THW,
CABLES THW,22,cable THW calibre 14,
ZAPATAS (COMPRESION CORTA,21,zapata compresion cobre electrica,
ZAPATAS (COMPRESION LARGA,21,zapata compresion larga cobre,
ZAPATAS,21,zapata electrica ponchable,
TAPAS,20,tapa ciega electrica galvanizada,
CHAROLAS Y ACCESORIOS,18,charola portacables electrica,
FUSIBLES,18,fusible electrico cartucho,
TORNILLERIA (HEXAGONAL,18,tornillo cabeza hexagonal,
TAQUETES Y FIJACION,17,taquete expansor metalico,
UNICANAL,16,unistrut unicanal soporte electrico,
CAJAS Y TAPAS ELECTRICAS,15,caja electrica octagonal chalupa,
CONECTORES LICUATITE,15,conector recto liquid tight,
CONECTORES ZAPA,15,conector zapa recto conduit,
CONTACTOS ELECTRICOS,14,contacto duplex electrico,
PIJAS PUNTA BROCA,14,pija punta broca autoperforante,
BALASTROS,13,balastro electronico fluorescente T8,
CABLES USO RUDO,12,cable uso rudo 2x12,
CAJAS ELECTRICAS,12,caja chalupa electrica galvanizada,
LED,12,foco LED bulbo,
SEGURIDAD,12,equipo proteccion personal seguridad industrial,
COPLES,11,cople conduit electrico,
LUMINARIAS LED,11,luminaria LED empotrable,
TAPAS FS/ELECTRICAS,11,tapa FS electrica,
TORNILLERIA (TOPE CAÑON CORTO,11,,
CONECTORES PVC,10,conector PVC conduit,
COPLES CON ROSCA,10,cople con rosca conduit,
COPLES CON TORNILLO,10,cople con tornillo conduit,
COPLES PVC,10,cople PVC conduit,
GABINETES,10,gabinete metalico electrico,
CODOS CON ROSCA,9,codo con rosca conduit,
CODOS PVC,9,codo PVC conduit electrico,
CONTRATUERCAS,9,contratuerca conduit galvanizada,
POLIDUCTO,9,poliducto naranja corrugado,
TORNILLERIA (TOPE CAÑON LARGO,9,,
ADHESIVOS,8,adhesivo PVC cemento para tubo,
BROCAS,8,broca para metal HSS,
CABLES ALUMINIO,8,cable aluminio forrado electrico,
CAJAS FS,8,caja FS galvanizada electrica,
CODOS,8,codo conduit electrico,
COPLES WP,8,cople WP waterproof conduit,
SOLDADURA,8,electrodo soldadura 6013,
CINTAS,7,cinta aislante electrica,
MUFAS,7,mufa electrica conduit,
PLACAS ELECTRICAS,7,placa electrica apagador,
RELEVADORES,7,relevador sobrecarga electrico,
TABLEROS,7,tablero electrico distribucion,
APAGADORES,6,apagador sencillo electrico,
CONECTORES BIPARTIDOS,6,conector bipartido cobre,
ESPATULAS,6,espatula para pintor,
TUBOS ZAPA,6,tubo zapa conduit,
PINZAS,5,pinza electricista,
CONECTORES VCL,3,conector VCL conduit,
LLANTAS,3,llanta montacargas industrial,
LLAVES,3,llave herramienta,
TUERCAS BRONCE,3,tuerca bronce silicio,
CONTACTOS DUPLEX,2,contacto duplex blanco electrico,
FLEXOMETROS,2,flexometro cinta metrica,
MANGUERAS,2,manguera industrial,
BOMBAS,1,bomba agua electrica,
CAPACITORES,1,capacitor electrico,
CENTROS DE CARGA,1,centro de carga electrico,
CONTACTORES,1,contactor electrico trifasico,
GUANTES,1,guante dielectrico seguridad,
LENTES SEGURIDAD,1,lentes seguridad industrial,
MOTORES,1,motor electrico trifasico,
PANELES LED,1,panel LED plano empotrable 60x60,
REDUCCIONES,1,reduccion conduit electrica,
REGISTROS,1,registro electrico galvanizado,
