Marca/Grupo,SKU,Nombre,Precio,Categorias
3M,CAPU0004,CAPUCHON AMRILLO ROJO 3M,3.51,
3M,3M0021,CAPUCHON AZUL/NARANJA,3.48,
3M,3M0011,CINTA AISLANTE SUPER 33 3M,103.8,
3M,3M0012,CINTA ASILANTE SILICON 70 3M.,1152.27,
3M,3M1755,"CINTA DE TELA Y HULE TENFLEX 1755 3/4""X60"", 0.19MMX18M 3M",,
3M,3M0013,CINTA SEMICONDUCTORA 13 3M.,431.25,
3M,3M0005,CINTA TEMFLEX  3M AZUL*,30.17,
3M,3M0003,CINTA TEMFLEX  3M ROJA,30.17,
3M,3M155,CINTA TEMFLEX 155,17.205,
3M,3M0004,CINTA TEMFLEX 1600 3M AMARILLA*,30.17,
3M,3M0002,CINTA TEMFLEX 1600 3M BLANCA*,30.17,
3M,3M0001,CINTA TEMFLEX 1600 3M NEGRA,27.09,
3M,3M0006,CINTA TEMFLEX 1600 3M VERDE*,30.17,
3M,3M0010,CINTA VULCANIZABLE 23 3M.,589.85,
3M,3M1110,TAPON AUDITIVO COLOR NARANJA,10.6,
ANCLO,TAFS0004,TAPAS P/DUPLEX MARCA ANCLO,26.67,
BOOMER,BOOM0010,FOCO OMNIDIRECCIONAL30W 6500K BOOMER*,105.14,
BOOMER,BOOM0047,LUMINARIA SOBREPONER LED 12W 6500°K CIRCULAR BOOMER,165.93,
BOOMER,MR16LED65B,MR16 6.5 W LED LUZ BLANCA BOOMER 6500,43.74,
BOOMER,BOOM0004,PANEL LED BCO 40W 60X60 6500K  BOOMER*,388.05,
BOOMER,BOOM0001,REFLECTOR BCO 10W 6500K 100-240V BOOMER*,159.62,
BOOMER,BOOM0002,REFLECTOR BCO 20W 6500K 100-240V BOOMER*,233.82,
BOOMER,BOOM0003,REFLECTOR BCO 36W 6500K  BOOMER*,,
BOOMER,BOOM0020,TUBO LED T8 18W VIDRIO OPALINO,29.7,
CONDUMEX,CMEX050,CABLE   THW-LS CAL 1/0 NEGRO 600V90,320.37,
CONDUMEX,CMEX045,CABLE   THW-LS CAL 250 NEGRO,515.04,
CONDUMEX,CMEX010,CABLE  CONDUMEX THW-LS CAL 10 BLANCO*,24.72,
CONDUMEX,CMEX009,CABLE  CONDUMEX THW-LS CAL 10 NEGRO*,24.72,
CONDUMEX,CMEX012,CABLE  CONDUMEX THW-LS CAL 10 VERDE*,24.72,
CONDUMEX,CMEX001,CABLE  CONDUMEX THW-LS CAL 14 BLANCO*,10.92,
CONDUMEX,CMEX002,CABLE  CONDUMEX THW-LS CAL 14 ROJO*,10.92,
CONDUMEX,CMEX003,CABLE  CONDUMEX THW-LS CAL 14 VERDE*,10.92,
CONDUMEX,CMEX004,CABLE  CONDUMEX THW-LS CAL 16 NEGRO,7.425,
CONDUMEX,CMEX015,CABLE  CONDUMEX THW-LS CAL 8 ROJO,39.68,
CONDUMEX,CMEX011,CABLE CONDUMEX THW-LS CAL 10 ROJO*,24.72,
CONDUMEX,CMEX013,CABLE CONDUMEX THW-LS CAL 8 NEGRO,39.68,
