SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
103025INDI,simple,1 Pieza Punta de Cruz Ph2 de Impacto Largo 2,"1 Pieza Punta de Cruz Ph2 de Impacto Largo 2. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Accesorios,,9.12,,,,,,,,,,,,,
44349,simple,"100 Pijas 10 X 1-1/2""cabeza Plana Phillips Multiusos","100 Pijas 10 X 1-1/2""cabeza Plana Phillips Multiusos. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,47.41,,,,,,,,,,,,,
44339,simple,"100 Pijas 6 X 1-1/2""cabeza Plana Phillips Multiusos","100 Pijas 6 X 1-1/2""cabeza Plana Phillips Multiusos. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,30.17,,,,,,,,,,,,,
40069,simple,"100pijas 8x1-1/2""cabeza Plana Phillips Multiusos Cuerda Fina","100pijas 8x1-1/2""cabeza Plana Phillips Multiusos Cuerda Fina. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,46.0,,,,,,,,,,,,,
UNNO0010,simple,2328-ba Contacto Duplex 2p+t 3 Mod,"2328-ba Contacto Duplex 2p+t 3 Mod. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,104.27,,,,,,,,,,,,,
UNO0011,simple,2573-ba Placa de 3 Mod Chasis Blanca,"2573-ba Placa de 3 Mod Chasis Blanca. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,68.15,,,,,,,,,,,,,
A19LED030,simple,3pack Foco Domestico A19 Led 8.5w 100-240v 3000k,"3pack Foco Domestico A19 Led 8.5w 100-240v 3000k. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",ILUMINACIÓN > Interior,,90.53,,,,,,,,,,,,,
A19LED010,simple,3pack Foco Domestico A19 Led 8.5w 100-240v 6500k,"3pack Foco Domestico A19 Led 8.5w 100-240v 6500k. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",ILUMINACIÓN > Interior,,90.53,,,,,,,,,,,,,
ABOM0001-BASE,variable,Ab Omega,"Ab Omega 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,,,Medida,"1/2 pulg, 1 1/4 pulg, 1 1/2 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
ABOM0001,variation,Ab Omega - 1/2 pulg,"Ab Omega 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,3.64,id:ABOM0001-BASE,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABOM0004,variation,Ab Omega - 1 1/4 pulg,"Ab Omega 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,10.06,id:ABOM0001-BASE,Medida,1 1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABOM0005,variation,Ab Omega - 1 1/2 pulg,"Ab Omega 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,11.29,id:ABOM0001-BASE,Medida,1 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABOM0003,simple,"Ab Omega 1""","Ab Omega 1"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,5.16,,,,,,,,,,,,,
ABOM0006,simple,"Ab Omega 2""","Ab Omega 2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,28.06,,,,,,,,,,,,,
ABUN0001-BASE,variable,Ab Unicanal,"Ab Unicanal 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/4 pulg, 1 1/2 pulg, 2 1/2 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
ABUN0001,variation,Ab Unicanal - 1/2 pulg,"Ab Unicanal 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,7.03,id:ABUN0001-BASE,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUN0002,variation,Ab Unicanal - 3/4 pulg,"Ab Unicanal 3/4. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,9.09,id:ABUN0001-BASE,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUN0004,variation,Ab Unicanal - 1 1/4 pulg,"Ab Unicanal 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,12.84,id:ABUN0001-BASE,Medida,1 1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
