SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
100079,"Dispensador con 10 cuchillas para NV-7X y NM-6, EXPERT","Dispensador con 10 cuchillas para NV-7X y NM-6, EXPERT",82.8,,"https://www.truper.com/media/import/imagenes/REP-NM-10X.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D2.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D3.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D4.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D5.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+D6.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+EI1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+EIND1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+EM1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+E1.jpg, https://www.truper.com/media/import/imagenes/REP-NM-10X+FC1.jpg",Marca,,Medida,
100080,Bolsa con 1 kg de barras de silicón de repuesto p/PIPE-1/2,Bolsa con 1 kg de barras de silicón de repuesto p/PIPE-1/2,,,https://www.truper.com/media/import/imagenes/REP-PIPE-1-2G.jpg,Marca,,Medida,
100126,"Disco de lija 4-1/2"" con respaldo de fibra, grano 50, TRUPER","Disco de lija 4-1/2"" con respaldo de fibra, grano 50, TRUPER",14.66,,"https://www.truper.com/media/import/imagenes/DILF-450.jpg, https://www.truper.com/media/import/imagenes/DILF-450+EI1.jpg, https://www.truper.com/media/import/imagenes/DILF-450+EM1.jpg, https://www.truper.com/media/import/imagenes/DILF-450+E1.jpg, https://www.truper.com/media/import/imagenes/DILF-450+FC1.jpg",Marca,,Medida,
100148,"Manguera 3/4"" anti-torceduras 6 capas 30m conexiones d/metal","Manguera 3/4"" anti-torceduras 6 capas 30m conexiones d/metal",806.03,,https://www.truper.com/media/import/imagenes/MAN-30X3-4XX.jpg,Marca,,Medida,
100172,"Disco sierra 4-1/2"" para madera, 24 dientes centro 3/8""","Disco sierra 4-1/2"" para madera, 24 dientes centro 3/8""",155.17,,"https://www.truper.com/media/import/imagenes/ST-424.jpg, https://www.truper.com/media/import/imagenes/ST-424+EI1.jpg, https://www.truper.com/media/import/imagenes/ST-424+EIND1.jpg, https://www.truper.com/media/import/imagenes/ST-424+EM1.jpg, https://www.truper.com/media/import/imagenes/ST-424+E1.jpg",Marca,,Medida,
100173,"Gancho plástico naranja para manguera de jardín, TRUPER","Gancho plástico naranja para manguera de jardín, TRUPER",66.38,,"https://www.truper.com/media/import/imagenes/GA-MA-N.jpg, https://www.truper.com/media/import/imagenes/GA-MA-N+E1.jpg, https://www.truper.com/media/import/imagenes/GA-MA-N+FC1.jpg, https://www.truper.com/media/import/imagenes/GA-MA-N+FC2.jpg",Marca,,Medida,
100224,"Escalera de tijera, tipo ll, 4 peldaños, fibra de vidrio","Escalera de tijera, tipo ll, 4 peldaños, fibra de vidrio",2314.66,,"https://www.truper.com/media/import/imagenes/EST-24FV.jpg, https://www.truper.com/media/import/imagenes/EST-24FV+FC1.jpg, https://www.truper.com/media/import/imagenes/EST-24FV+FC2.jpg",Marca,,Medida,
100225,"Escalera de tijera, tipo ll, 5 peldaños, fibra de vidrio","Escalera de tijera, tipo ll, 5 peldaños, fibra de vidrio",3050.0,,"https://www.truper.com/media/import/imagenes/EST-25FV.jpg, https://www.truper.com/media/import/imagenes/EST-25FV+FC1.jpg, https://www.truper.com/media/import/imagenes/EST-25FV+FC2.jpg",Marca,,Medida,
100250,"Combo esmeriladora 4-1/2"", 850W,lentes y flexómetro,ERGO-PRO","Combo esmeriladora 4-1/2"", 850W,lentes y flexómetro,ERGO-PRO",831.9,,"https://www.truper.com/media/import/imagenes/COMBOE-4580ALF.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+EIND1.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+EIND2.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+EM1.jpg, https://www.truper.com/media/import/imagenes/COMBOE-4580ALF+E1.jpg",Marca,,Medida,
100374,"Medidor láser de distancia de 0.05 m a 100 m, TRUPER","Medidor láser de distancia de 0.05 m a 100 m, TRUPER",1314.66,,"https://www.truper.com/media/import/imagenes/MELA-100.jpg, https://www.truper.com/media/import/imagenes/MELA-100+D4.jpg, https://www.truper.com/media/import/imagenes/MELA-100+EIND1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+EM1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+E1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+FC1.jpg, https://www.truper.com/media/import/imagenes/MELA-100+FC2.jpg, https://www.truper.com/media/import/imagenes/MELA-100+FC3.jpg",Marca,,Medida,
