======================================================================
REPORTE COMPARACIÓN DE SKUs
Lista oficial: Lista de precios de venta-categoria.xls  (2293 SKUs)
CSV final    : woocommerce_FINAL.csv  (2477 SKUs)
======================================================================

COINCIDENCIAS: 2292 SKUs estan en ambos archivos

EN LISTA PERO NO EN CSV (1 productos):
   Estos productos existen en la lista oficial pero faltan en el CSV final:
   SKU                  Nombre en lista
   -------------------- ----------------------------------------
   Se imprimieron 2292 Productos 

EN CSV PERO NO EN LISTA (185 productos):
   Estos SKUs están en el CSV pero NO aparecen en la lista oficial:
   (pueden ser variaciones -BASE, o productos eliminados)
   SKU                       Type         Nombre en CSV
   ------------------------- ------------ -----------------------------------
   101257-BASE               variable     Casco de Seguridad Ventilado, Ajuste de 
   102189-BASE               variable     Broca para Metal Hss
   10566-BASE                variable     Casco de Seguridad Ala Ancha, , Truper
   10920-BASE                variable     Espuma Expansiva de Poliuretano, , Trupe
   11206-BASE                variable     Broca para Concreto de X 6", Truper
   11701-BASE                variable     Broca para Vidrio y Azulejo de , Truper
   12061-BASE                variable     Pintura en Aerosol, Neón, Bote Esbelto
   12500-BASE                variable     Cinta de Aislar de X 19 Mm, Negra, Trupe
   12502-BASE                variable     Cinta de Aislar de X 19 Mm, , Truper
   12520-BASE                variable     Cinta Sella Roscas X 7m, Uso General, Tr
   12578-BASE                variable     Rollo de de Cinta Delimitadora "precauci
   12579-BASE                variable     Rollo de de Cinta Delimitadora "prohibid
   12585-BASE                variable     Rollo de de Cinta Delimitadora "peligro"
   12939-BASE                variable     Estuche con 5 Dados Magnéticos de Largo 
   13182-BASE                variable     Dado Largo de , 6 Puntas, Cuadro 1/4", T
   13188-BASE                variable     Dado Largo de ', 6 Puntas, Cuadro 1/4', 
   13204-BASE                variable     Dado Largo de , 6 Puntas, Cuadro 1/4', T
   13214-BASE                variable     Matraca Cuadro Cabeza de Pera de Liberac
   14623-BASE                variable     Cautín Tipo Lápiz para Trabajo Pesado, T
