SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
ABCL0002-BASE,variable,Abrazadera Clip,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABCL0002-BASE.jpg,,,Medida,"3/4 pulg, 1 1/4 pulg",1,1,Marca,,1,1,,,,
ABCL0002,variation,Abrazadera Clip - 3/4 pulg,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,7.03,id:ABCL0002-BASE,Medida,3/4 pulg,1,1,Marca,,1,1,,,,
ABCL0004,variation,Abrazadera Clip - 1 1/4 pulg,"Abrazadera Clip 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,13.42,id:ABCL0002-BASE,Medida,1 1/4 pulg,1,1,Marca,,1,1,,,,
ABOM0001-BASE,variable,Abrazadera Omega,"Abrazadera Omega 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABOM0001-BASE.jpg,,,Medida,"1/2 pulg, 1 1/4 pulg, 1 1/2 pulg",1,1,Marca,,1,1,,,,
ABOM0001,variation,Abrazadera Omega - 1/2 pulg,"Abrazadera Omega 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,3.64,id:ABOM0001-BASE,Medida,1/2 pulg,1,1,Marca,,1,1,,,,
ABOM0004,variation,Abrazadera Omega - 1 1/4 pulg,"Abrazadera Omega 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,10.06,id:ABOM0001-BASE,Medida,1 1/4 pulg,1,1,Marca,,1,1,,,,
ABOM0005,variation,Abrazadera Omega - 1 1/2 pulg,"Abrazadera Omega 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,11.29,id:ABOM0001-BASE,Medida,1 1/2 pulg,1,1,Marca,,1,1,,,,
46795-BASE,variable,"Abrazadera Ppr,â , Tipo U, Foset","Abrazadera Ppr,â 1/2"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/2026/05/CV-101_FC2.jpg",,,Medida,"1/2 pulg, 3/4 pulg",1,1,Marca,,1,1,,,,
46795,variation,"Abrazadera Ppr,â , Tipo U, Foset - 1/2 pulg","Abrazadera Ppr,â 1/2"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,"https://www.truper.com/media/import/imagenes/CV-101.jpg, https://www.truper.com/media/import/imagenes/CV-101+E1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC2.jpg",1.38,id:46795-BASE,Medida,1/2 pulg,1,1,Marca,,1,1,,,,
46796,variation,"Abrazadera Ppr,â , Tipo U, Foset - 3/4 pulg","Abrazadera Ppr,â 3/4"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,"https://www.truper.com/media/import/imagenes/CV-102.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC2.jpg",2.07,id:46795-BASE,Medida,3/4 pulg,1,1,Marca,,1,1,,,,
