SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
ABCL0002,simple,Abrazadera Clip - 3/4 pulg,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,7.03,,Medida,3/4 pulg,1,1,Marca,,1,1,,,,
ABCL0004,simple,Abrazadera Clip - 1 1/4 pulg,"Abrazadera Clip 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,13.42,,Medida,1 1/4 pulg,1,1,Marca,,1,1,,,,
ABOM0001,simple,Abrazadera Omega - 1/2 pulg,"Abrazadera Omega 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,3.64,,Medida,1/2 pulg,1,1,Marca,,1,1,,,,
ABOM0004,simple,Abrazadera Omega - 1 1/4 pulg,"Abrazadera Omega 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,10.06,,Medida,1 1/4 pulg,1,1,Marca,,1,1,,,,
ABOM0005,simple,Abrazadera Omega - 1 1/2 pulg,"Abrazadera Omega 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,11.29,,Medida,1 1/2 pulg,1,1,Marca,,1,1,,,,
46795,simple,"Abrazadera Ppr,â , Tipo U, Foset - 1/2 pulg","Abrazadera Ppr,â 1/2"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,"https://www.truper.com/media/import/imagenes/CV-101.jpg, https://www.truper.com/media/import/imagenes/CV-101+E1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC2.jpg",1.38,,Medida,1/2 pulg,1,1,Marca,,1,1,,,,
46796,simple,"Abrazadera Ppr,â , Tipo U, Foset - 3/4 pulg","Abrazadera Ppr,â 3/4"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,"https://www.truper.com/media/import/imagenes/CV-102.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC2.jpg",2.07,,Medida,3/4 pulg,1,1,Marca,,1,1,,,,
ABPE0001,simple,Abrazadera Tipo Pera - 1/2 pulg,"Abrazadera Tipo Pera 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,7.61,,Medida,1/2 pulg,1,1,Marca,,1,1,,,,
ABPE0002,simple,Abrazadera Tipo Pera - 3/4 pulg,"Abrazadera Tipo Pera 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,8.32,,Medida,3/4 pulg,1,1,Marca,,1,1,,,,
ABPE0005,simple,Abrazadera Tipo Pera - 1 1/2 pulg,"Abrazadera Tipo Pera 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,9.93,,Medida,1 1/2 pulg,1,1,Marca,,1,1,,,,
