ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Brands,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
28450,simple,103025INDI,,1 Pieza Punta de Cruz Ph2 de Impacto Largo 2,1,0,visible,,"1 Pieza Punta de Cruz Ph2 de Impacto Largo 2. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,9.12,FERRETERÍA > Accesorios,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_103025INDI.jpg,,,,,,,,,0,,,,,,,,,
28451,simple,44349,,"100 Pijas 10 X 1-1/2""cabeza Plana Phillips Multiusos",1,0,visible,,"100 Pijas 10 X 1-1/2""cabeza Plana Phillips Multiusos. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,47.41,FERRETERÍA > Ferretería general,,,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_44349.png, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_FC2.jpg",,,,,,,,,0,,,,,,,,,
28452,simple,44339,,"100 Pijas 6 X 1-1/2""cabeza Plana Phillips Multiusos",1,0,visible,,"100 Pijas 6 X 1-1/2""cabeza Plana Phillips Multiusos. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,30.17,FERRETERÍA > Ferretería general,,,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_44339.png, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_FC2.jpg",,,,,,,,,0,,,,,,,,,
28453,simple,40069,,"100pijas 8x1-1/2""cabeza Plana Phillips Multiusos Cuerda Fina",1,0,visible,,"100pijas 8x1-1/2""cabeza Plana Phillips Multiusos Cuerda Fina. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,46.0,FERRETERÍA > Ferretería general,,,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_40069.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_FC2.jpg",,,,,,,,,0,,,,,,,,,
28454,simple,UNNO0010,,Contacto Duplex 2p+t 3 Mod,1,0,visible,,"2328-ba Contacto Duplex 2p+t 3 Mod. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,104.27,MATERIAL ELÉCTRICO > Instalación,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_UNNO0010.png,,,,,,,,,0,,,,,,,,,
28455,simple,UNO0011,,Placa de 3 Mod Chasis Blanca,1,0,visible,,"2573-ba Placa de 3 Mod Chasis Blanca. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,68.15,MATERIAL ELÉCTRICO > Instalación,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_UNO0011.png,,,,,,,,,0,,,,,,,,,
28456,simple,A19LED030,,3pack Foco Domestico A19 LED 8.5w 100-240v 3000k,1,0,visible,,"3pack Foco Domestico A19 Led 8.5w 100-240v 3000k. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,90.53,ILUMINACIÓN > Interior,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_A19LED030.jpg,,,,,,,,,0,,,,,,,,,
28457,simple,A19LED010,,3pack Foco Domestico A19 LED 8.5w 100-240v 6500k,1,0,visible,,"3pack Foco Domestico A19 Led 8.5w 100-240v 6500k. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,90.53,ILUMINACIÓN > Interior,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_A19LED010.jpg,,,,,,,,,0,,,,,,,,,
28458,simple,ABCL0002,,Abrazadera Clip - 3/4 pulg,1,0,visible,,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,7.03,MATERIAL ELÉCTRICO > Canalización,,,https://dummyimage.com/600x600/cccccc/000000.png,,,,,,,,,0,,Medida,3/4 pulg,1,1,,,,
28459,simple,ABCL0004,,Abrazadera Clip - 1 1/4 pulg,1,0,visible,,"Abrazadera Clip 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,13.42,MATERIAL ELÉCTRICO > Canalización,,,https://dummyimage.com/600x600/cccccc/000000.png,,,,,,,,,0,,Medida,1 1/4 pulg,1,1,,,,
28460,simple,ABCL0003,,Abrazadera Clip 1,1,0,visible,,"Abrazadera Clip 1. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,8.58,MATERIAL ELÉCTRICO > Canalización,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABCL0003.jpg,,,,,,,,,0,,,,,,,,,
28461,simple,ABCL0001,,"Abrazadera Clip 1/2""",1,0,visible,,"Abrazadera Clip 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,6.51,MATERIAL ELÉCTRICO > Canalización,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABCL0001.jpg,,,,,,,,,0,,,,,,,,,
28462,simple,ABOM0001,,Abrazadera Omega - 1/2 pulg,1,0,visible,,"Abrazadera Omega 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,3.64,MATERIAL ELÉCTRICO > Canalización,,,https://dummyimage.com/600x600/cccccc/000000.png,,,,,,,,,0,,Medida,1/2 pulg,1,1,,,,
28463,simple,ABOM0004,,Abrazadera Omega - 1 1/4 pulg,1,0,visible,,"Abrazadera Omega 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,10.06,MATERIAL ELÉCTRICO > Canalización,,,https://dummyimage.com/600x600/cccccc/000000.png,,,,,,,,,0,,Medida,1 1/4 pulg,1,1,,,,
28464,simple,ABOM0005,,Abrazadera Omega - 1 1/2 pulg,1,0,visible,,"Abrazadera Omega 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,11.29,MATERIAL ELÉCTRICO > Canalización,,,https://dummyimage.com/600x600/cccccc/000000.png,,,,,,,,,0,,Medida,1 1/2 pulg,1,1,,,,
28465,simple,ABOM0003,,"Abrazadera Omega 1""",1,0,visible,,"Abrazadera Omega 1"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,5.16,MATERIAL ELÉCTRICO > Canalización,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABOM0003.jpg,,,,,,,,,0,,,,,,,,,
28466,simple,ABOM0006,,"Abrazadera Omega 2""",1,0,visible,,"Abrazadera Omega 2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,28.06,MATERIAL ELÉCTRICO > Canalización,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABOM0006.jpg,,,,,,,,,0,,,,,,,,,
28467,simple,ABPA0002,,"Abrazadera Pata Cabra 3/4"" Pct-34",1,0,visible,,"Abrazadera Pata Cabra 3/4"" Pct-34. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,34.1,MATERIAL ELÉCTRICO > Canalización,,,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABPA0002.jpg,,,,,,,,,0,,,,,,,,,
28468,simple,46795,,"Abrazadera PPR, , Tipo U, Foset - 1/2 pulg",1,0,visible,,"Abrazadera Ppr,1/2"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,1.38,MATERIAL ELÉCTRICO > Canalización,,,"https://www.truper.com/media/import/imagenes/CV-101.jpg, https://www.truper.com/media/import/imagenes/CV-101+E1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC2.jpg",,,,,,,,,0,,Medida,1/2 pulg,1,1,,,,
28469,simple,46796,,"Abrazadera PPR, , Tipo U, Foset - 3/4 pulg",1,0,visible,,"Abrazadera Ppr,3/4"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",,,taxable,,1,,,0,0,,,,,1,,,2.07,MATERIAL ELÉCTRICO > Canalización,,,"https://www.truper.com/media/import/imagenes/CV-102.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC2.jpg",,,,,,,,,0,,Medida,3/4 pulg,1,1,,,,
