SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
103025INDI,simple,1 Pieza Punta de Cruz Ph2 de Impacto Largo 2,"1 Pieza Punta de Cruz Ph2 de Impacto Largo 2. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Accesorios,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_103025INDI.jpg,9.12,,,,,,,,,,,,,
44349,simple,"100 Pijas 10 X 1-1/2""cabeza Plana Phillips Multiusos","100 Pijas 10 X 1-1/2""cabeza Plana Phillips Multiusos. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_44349.png, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-1038_FC2.jpg",47.41,,,,,,,,,,,,,
44339,simple,"100 Pijas 6 X 1-1/2""cabeza Plana Phillips Multiusos","100 Pijas 6 X 1-1/2""cabeza Plana Phillips Multiusos. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_44339.png, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJ-638_FC2.jpg",30.17,,,,,,,,,,,,,
40069,simple,"100pijas 8x1-1/2""cabeza Plana Phillips Multiusos Cuerda Fina","100pijas 8x1-1/2""cabeza Plana Phillips Multiusos Cuerda Fina. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_40069.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EI1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EIND1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_EM1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_E1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/PIJC-838_FC2.jpg",46.0,,,,,,,,,,,,,
UNNO0010,simple,2328-ba Contacto Duplex 2p+t 3 Mod,"2328-ba Contacto Duplex 2p+t 3 Mod. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_UNNO0010.png,104.27,,,,,,,,,,,,,
UNO0011,simple,2573-ba Placa de 3 Mod Chasis Blanca,"2573-ba Placa de 3 Mod Chasis Blanca. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_UNO0011.png,68.15,,,,,,,,,,,,,
A19LED030,simple,3pack Foco Domestico A19 Led 8.5w 100-240v 3000k,"3pack Foco Domestico A19 Led 8.5w 100-240v 3000k. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",ILUMINACIÓN > Interior,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_A19LED030.jpg,90.53,,,,,,,,,,,,,
A19LED010,simple,3pack Foco Domestico A19 Led 8.5w 100-240v 6500k,"3pack Foco Domestico A19 Led 8.5w 100-240v 6500k. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",ILUMINACIÓN > Interior,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_A19LED010.jpg,90.53,,,,,,,,,,,,,
ABCL0002-BASE,variable,Abrazadera Clip,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABCL0002-BASE.jpg,,,Medida,"3/4 pulg, 1 1/4 pulg",1,1,Marca,,1,1,,,,
ABCL0002,variation,Abrazadera Clip - 3/4 pulg,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,7.03,id:ABCL0002-BASE,Medida,3/4 pulg,1,1,Marca,,1,1,,,,
